word,deprel,score
clock,nn,0.006281336886634792
light,nsubj,0.08933688597739675
light,root,0.26190222128730445
light,pobj,0.04796553238621393
water,pobj,0.2700751130670365
water,pobj,0.42897721723248783
water,pobj,0.05331668217581875
water,pobj,0.13766718247591914
water,pobj,0.016407172599650962
water,pobj,0.03788801834254485
water,pobj,0.006764311785724897
water,pobj,0.07900013799810891
water,pobj,0.017706261122473862
zebra,nn,0.6935881468652338
zebra,pobj,0.5755412264242221
zebra,root,0.11300255566117925
zebra,pobj,0.021054361711204558
zebra,root,0.6565621518028155
zebra,nsubj,0.06303322565453762
zebra,pobj,0.0289565699117772
water,pobj,0.24182033551853774
water,pobj,0.03526719044017645
clock,nn,0.014588396991395138
clock,rcmod,0.11589038728337585
stove,npadvmod,0.030412472362643106
stove,amod,0.03870500238275009
stove,pobj,0.12663340856021976
stove,pobj,0.008239148747516412
clock,dobj,0.15991476550095618
light,conj,0.01955638300316209
water,pobj,0.12139845287369574
water,pobj,0.12615825017270774
water,pobj,0.07958011599655257
water,pobj,0.07916528909105913
baby,nn,0.12401363742753445
baby,root,0.2057720889039404
clock,root,0.4903182385867535
clock,root,0.8882538724911667
water,pobj,0.3049536761638387
water,pobj,0.0968637314503197
baby,nn,0.018897798651013927
water,pobj,0.1010783461542859
water,pobj,0.07522712943962363
water,nn,0.0898445626350517
water,pobj,0.1254588511751894
water,dobj,0.03139002719081241
light,amod,0.07666072847267223
water,pobj,0.0689668401219089
water,pobj,0.20936308803707804
water,nn,0.14536276166456594
water,pobj,0.12109005562893138
water,pobj,0.016270304726341944
water,pobj,0.062058594044258834
water,pobj,0.06647744775066355
zebra,nn,0.16737802275872826
zebra,nn,0.10639851037498492
zebra,pobj,0.1096103757865592
water,pobj,0.506006217440085
zebra,pobj,0.4550180149465102
zebra,pobj,0.19353516206136206
zebra,pobj,0.5392170478958411
water,pobj,0.058690721270719386
water,pobj,0.1697289805408868
water,pobj,0.8153028755543635
water,nn,0.07666540492104723
water,pobj,0.13304241367670097
water,pobj,0.1411628606484342
water,pobj,0.128606841716574
water,pobj,0.2115290711199148
water,pobj,0.02341760530307901
water,pobj,0.015131778612672897
baby,root,0.2933318985955887
baby,dobj,0.7434741349606555
baby,pobj,0.21626939298218428
baby,nsubj,0.39344757220618737
water,pobj,0.04180927152109826
clock,pobj,0.03464394047053865
clock,pobj,0.1417013654316034
stove,conj,0.033883194378991566
stove,pobj,0.11753252303941543
stove,nn,0.017135724507287398
clock,root,0.4924315909519397
clock,nn,0.13364666618485666
stove,amod,0.2728284310726479
stove,root,0.6503438936592933
stove,conj,0.010563415146236377
stove,conj,0.035553305836917626
stove,pobj,0.01649440980719241
water,pobj,0.17718106448635795
water,conj,0.1015313083441739
water,pobj,0.1465735056978824
water,pobj,0.054563621929497264
water,pobj,0.10501382031008877
water,pobj,0.1179326877956306
water,pobj,0.03450611548562599
light,pobj,0.0730060528369657
light,amod,0.10207683428626237
water,dobj,0.031145307436591718
water,root,0.02693028469616754
water,rcmod,0.04868341764810935
water,dep,0.02333977467701853
baby,nn,0.055373837109124364
zebra,pobj,0.9004094533133864
zebra,nsubj,0.710803163099144
zebra,nn,0.743583407873801
zebra,nsubj,0.6995537925852298
zebra,root,0.6546943415902253
zebra,root,0.7129627251145774
zebra,nn,0.40803850386203006
water,xcomp,0.2932218705111537
water,pobj,0.4314474091177097
clock,pobj,0.4517520865547656
clock,root,0.4113225052670288
clock,dobj,0.2573869858257728
clock,conj,0.03555441310582119
water,pobj,0.03281330968714824
water,pobj,0.3310411621975966
water,pobj,0.014762548529694941
light,nsubjpass,0.04547434224994296
clock,root,0.6575301581599677
light,amod,0.06452954468379501
light,conj,0.01623804310931598
water,pobj,0.09712665813565913
water,pobj,0.6199269054577391
water,pobj,0.2221239013239249
water,pobj,0.010362536356732012
water,nn,0.4783575083287852
water,nn,0.18482595920392328
water,pobj,0.2951043273909303
water,pobj,0.2531780217841152
water,pobj,0.15738405319030613
water,pobj,0.1192882687085749
water,nn,0.09666148954118178
baby,root,0.33741842334534833
